time,type,measurementId,measurementValue
2023-11-02T14:02:43Z,Wind Direction Sensor,4104,66
2023-11-02T14:02:43Z,Wind Speed,4105,2.3
2023-11-02T13:47:36Z,Air Humidity,4098,99
2023-11-02T13:47:36Z,Air Temperature,4097,12.5
2023-11-02T13:47:36Z,Barometric Pressure,4101,99130
2023-11-02T13:47:36Z,Light Intensity,4099,2036
2023-11-02T13:47:36Z,Rain Gauge,4113,1.524
2023-11-02T13:47:36Z,UV Index,4190,0
2023-11-02T13:47:36Z,Wind Direction Sensor,4104,91
2023-11-02T13:47:36Z,Wind Speed,4105,1.6
2023-11-02T13:32:31Z,Air Humidity,4098,99
2023-11-02T13:32:31Z,Air Temperature,4097,12.4
2023-11-02T13:32:31Z,Barometric Pressure,4101,99220
2023-11-02T13:32:31Z,Light Intensity,4099,3040
2023-11-02T13:32:31Z,Rain Gauge,4113,1.524
2023-11-02T13:32:31Z,UV Index,4190,0
2023-11-02T13:32:31Z,Wind Direction Sensor,4104,54
2023-11-02T13:32:31Z,Wind Speed,4105,1
2023-11-02T13:17:24Z,Air Humidity,4098,99
2023-11-02T13:17:24Z,Air Temperature,4097,12.3
2023-11-02T13:17:24Z,Barometric Pressure,4101,99280
